,Name,Ticker,marketCap,pbRatio,peRatio,divYield,bookValue,epsTtm,roe,industryPe,cappedType,dividendYieldInPercent,faceValue,returnOnAssets,operatingProfitMargin,netProfitMargin,evToSales,evToEbitda,earningsYield,sectorPb,sectorDivYield,sectorRoe,sectorRoce,priceToOcf,priceToFcf,roic,pePremiumVsSector,pbPremiumVsSector,divYieldVsSector,sectorPe,priceToSales,pegRatio
20,Tube Investments of India,TIINDIA,70084.13,15.84,53.05,0.1,228.7641948,68.31,23.1759,43.31065777328852,Large Cap,0.1,1,1.5397701451113917,18.442049826795003,4.049417749996804,4.445766384169958,22.21,0.09643409998811427,5.4200487918120155,0.5864770154569399,12.371327704460079,10.47942483316444,163.51492032383752,68.93,31.92456516917141,0.22487172274529943,1.9224829163769237,-0.4864770154569399,43.31065777328852,4.45,1.5318631090487236
21,Indian Bank,INDIANB,72008.69,1.4,9.42,1.49,380.7091491,56.75,14.905337458292372,14.540778488104875,Large Cap,1.49,10,1.17,74.9197742811034,14.348141044087868,0.0,20.15,1.487429364428099,2.1522622613997844,0.8524867847787806,14.315278023886657,5.508082532503328,-9.018062753132773,-15.5,0.0,-0.3521667352469431,-0.34952165211990915,0.6375132152212194,14.540778488104875,1.15,0.19247977632805227
22,Torrent Power,TORNTPOWER,71643.14,6.04,38.68,1.74,246.5993111,38.54,18.3668,23.037132293884852,Large Cap,1.74,10,1.5900977552187345,18.29708719677812,6.938503324904,3.0399318160531985,6.75,1.7442172411761963,3.939940695344558,1.278158954211703,15.75371724880436,9.255178805029535,35.38841579072157,54.55,11.743856482427303,0.679028427087147,0.533017998757412,0.4618410457882971,23.037132293884852,2.66,0.031065464788732396
23,Oil India,OIL,68068.11,1.7,11.46,3.19,370.1993998,54.75,18.6204,7.337001676536978,Large Cap,3.19,10,2.6366476717815344,33.16441326899721,21.600155406077164,2.42802741725357,2.67,3.1862497724705445,1.2415403490292294,3.9694399790691386,16.430907067455696,12.312802306818982,14.43457395936492,18.95,15.849072384056672,0.5619459426659221,0.3692668154758272,-0.7794399790691386,7.337001676536978,2.16,0.06708225527499134
24,UCO Bank,UCOBANK,68256.57,2.84,40.49,0.0,20.0933618,1.41,7.039554238890144,14.540778488104875,Large Cap,0.0,10,0.0,75.14216920756989,8.059988447262516,0.0,20.18,0.0,2.1522622613997844,0.8524867847787806,14.315278023886657,5.508082532503328,7.811785562234197,6.06,0.0,1.7845826846975874,0.3195417914138985,-0.8524867847787806,14.540778488104875,2.79,0.15028846153846154
25,Hindustan Petroleum Corporation,HINDPETRO,65416.36,1.45,3.87,0.0,317.6089028,119.23,36.944,14.395094662818474,Large Cap,0.0,10,2.5952347418319426,6.544567683495842,3.7314897821201365,0.27122327531207746,0.0,0.0,2.3427286442771322,0.46423026613554447,16.28515145965426,10.674364140856376,2.9633926799856125,-5.9,18.27090978357526,-0.7311584195416276,-0.38106361419958257,-0.46423026613554447,14.395094662818474,0.15,0.0
26,Godrej Properties,GODREJPROP,69574.32,7.36,104.44,0.0,340.1906414,23.96,7.0054,50.279043261077014,Large Cap,0.0,5,0.7452435138978433,36.18066220283801,20.460409116039063,23.31013268628294,33.28,0.0,4.510044981023209,0.28810288547887536,5.4951072950123665,4.463087199686644,-49.16704592031434,-22.06,4.646712943225642,1.0772073855440905,0.6319127704864294,-0.28810288547887536,50.279043261077014,20.58,0.6512785787847579
27,Bank of India,BANKINDIA,67584.35,1.13,10.56,1.21,131.7687177,14.06,10.671976604969604,14.540778488104875,Large Cap,1.21,10,0.0,78.86940407371425,10.967999244828023,0.0,20.14,1.2145740840889938,2.1522622613997844,0.8524867847787806,14.315278023886657,5.508082532503328,-60.807915856906355,5.02,0.0,-0.2737665312322419,-0.4749710477824981,0.35751321522121937,14.540778488104875,1.02,0.8010000000000003
28,SBI Cards & Payment Services,SBICARD,69463.5,6.28,29.66,0.34,116.3284409,24.63,20.819,24.78421002196861,Large Cap,0.34,10,1.3602417841039602,34.86757610680835,14.294992626161015,6.019762254734396,20.6,0.34049176905857037,3.325110828866319,0.9414795659366308,13.013541131657044,8.951373055818927,-35.500513622495134,-13.22,9.422118287170946,0.1967296909487739,0.888658851753563,-0.6014795659366308,24.78421002196861,3.9,0.7890002971768202
29,Berger Paints India,BERGEPAINT,65494.42,13.53,57.92,0.47,41.5335908,9.7,21.3265,49.50734840586846,Large Cap,0.47,1,3.5578787013473847,17.342502924313113,10.17175450694867,5.928196312443413,37.64,0.47461753230275194,13.226034707406203,0.8328262561190033,26.519478588608663,23.198870420655552,102.07664973037,220.94,21.24086496155503,0.16992733129561688,0.022982344997445336,-0.3628262561190033,49.50734840586846,5.86,20.129292857142904
